"File","Line","Method","What","Purpose"
"GRM_Core.lua","11468","GRM.VerifyAllRankDates ( int )","Auto verifies all the promotions or demotion dates within that happened within X number of days.","Give player the ability to verify all the dates, or within a range."
"GRM_Core.lua","11526","GRM.VerifyAllJoinDates ( int )","Auto verifies all the promotions or demotion dates within that happened within X number of days.","Give player the ability to verify all the dates, or within a range."
"GRM_Core.lua","11584","GRM.GetNumUnverifiedJoinDates()","Returns the integer count of the number of players with unverified join dates.","Quality of life reporting how many there are to do"
"GRM_Core.lua","11602","GRM.GetNumUnverifiedPromoDates()","Returns the integer count of the number of players with unverified rank change dates.","Quality of life reporting how many there are to verify"
"GRM_Core.lua","11627","GRM.NotificationCheck( boolean , int , int , string )","Checks if you have any notifications you are tracking, and if so, reports the status change","Since some may wish to throttle the speed at which they scan for changes, or disable it altogether, this status check system needs to be an independent"
"GRM_Core.lua","11678","GRM.NotificationIndependentChecker()","Activates a notification check loop if any notifications are out there or are outstanding",""
"GRM_Core.lua","11713","GRM.SetBirthdayFrameLogic()","Sets the birthdate and resets the frames as needed","To keep presentation clean!"
"GRM_Core.lua","11747","GRM.SetBirthday ( string , int , int , int , boolean , string , boolean )","Sets the player's birthday","To take advantage of the player birthdate feature!"
"GRM_Core.lua","11838","GRM.CleanupBirthdays ( int , int , bool , guildTable )","Searches for all matches of this birthdate, and resets them to default empty value","Help cleanup a bug introduced from 1.33"
"GRM_Core.lua","11890","GRM.GetEventYear ( string )","Returns the year of the given event from timestamp","Keep code clutter down, put this block in reusable form."
"GRM_Core.lua","11902","GRM.GetEventMonth ( string )","Returns the 3 letter string of the name of the month of the event.","Again, avoid code cludder. For event tracking, knowing exact date is essential."
"GRM_Core.lua","11913","GRM.GetEventMonthEnumResult ( string )","Returns the integer index representative of the month of the year. Jan = 1 and Dec = 12","Accessibility to Enum from outside this class."
"GRM_Core.lua","11920","GRM.GetEventDay ( string )","Returns the number of the day, as a string, based on day of the month for given event timestamp","Important to know what day event should happen on."
"GRM_Core.lua","11931","GRM.IsCalendarEventAlreadyAdded ( string , string , int , int , int , int )","Returns true if the event has already been added to the calendar","If the player wipes his save history, it does not wipe what is added to in-game calendar. This just double-checks to avoid double adding."
"GRM_Core.lua","11967","GRM.IsOnAnnouncementList ( string , int , string )","returns true if the player is in the que to add to the calendar","Avoid double adding to que, and basic logic checking."
"GRM_Core.lua","11995","GRM.RemoveFromCalendarQue ( string , int , string )","Removes the player/event from the global Calendar Add Que table","Keep the Que Clean"
"GRM_Core.lua","12016","GRM.RemoveAllFromEventQue()","Adds a popup window to confirm if the player wishes to remove all the players from the calendar que and then does that if confirmed","Give the option for the player to more easily clean up the calendar que."
"GRM_Core.lua","12051","GRM.CalendarQueCheck ()","It checks the Add Que list, if the event is already on the calendar, then it removes it from the addque list.","In case other players add items to the calendar, this keeps it clean."
"GRM_Core.lua","12067","GRM.GetAnniversaryLogReport( string , string , int )","Returns the proper string of the annivesary events, both formats. One for UI display, and one for readabilty","For the addon feature of reporting and adding the anniversary to the calendar."
"GRM_Core.lua","12082","GRM.GetBirthdayLogReport( string )","Returns the proper string of the birthday events, both formats. One for UI display, and one for readabilty","For the addon feature of reporting and adding the anniversary to the calendar."
"GRM_Core.lua","12091","GRM.GetCustomEventReport( string , int , string )","Returns the proper string of the custom events, both formats. One for UI display, and one for readabilty","For the addon feature of reporting and adding the anniversary to the calendar."
"GRM_Core.lua","12100","GRM.ResetPlayerEvent ( string , int , string )","It checks if the event is on the eventsLog announcecment, and then if so, removes it.","Events log needs to be adjusted as the player adjusts the settings. This is used for many conditions, so it keeps it in one reusable function."
"GRM_Core.lua","12109","GRM.CleanupEventsFromplayers ()","If the player is not found in the guild but they are still on the event list, just dump the event list.","Cleanup events QoL"
"GRM_Core.lua","12130","GRM.InsertNewEvent ( string , string , int , int , int , string , int )","Inserts new event sorted by date, and if the same day, then sorted by name order","Cleanly insert the event into the array in order of date most soon, for UI purposes"
"GRM_Core.lua","12186","GRM.AddAnnouncementToCalendar ( string , int , int , int , string )","Adds the announcement to the in-game calendar, if player has permissions to do so.","CalendarAddEvent() is a protected function thus it needs to be triggered by a player in-game action, so it will"
"GRM_Core.lua","12231","GRM.RemoveItemFromLog ( index , bool , bool )","Finds the matching string in the log, and removes it from the tempFiltered Log and the core log.","For quick log cleanup."
"GRM_Core.lua","12275","GRM.ClearAllLogLinesWithinRange ( int , int )","Parse through all of the fontstrings visible, then matches them to the log and purges them","For log cleanup and UI features for the user"
"GRM_Core.lua","12313","GRM.ResetLogReport()","Deletes the guild Log","In case player wishes to reset guild Log information."
"GRM_Core.lua","12331","GRM.LogSetLastValue()","Triggers the setting fo all values at index 40 of the core log","On the single line shift, you end up with 1 on the edge that needs to be built"
"GRM_Core.lua","12339","GRM.LogSetFirstValue()","Triggers the setting fo all values at index 1 of the core Log","On the single line shift, you end up with 1 on the edge that needs to be built"
"GRM_Core.lua","12347","GRM.LogToolHybridShiftDown()","Shifts all the values down one line to give the illusion of scrolling when in reality this is just a hybrid scrollframe","Clean scrolling"
"GRM_Core.lua","12373","GRM.LogToolHybridShiftUP()","Shifts all the values up one line to give the illusion of scrolling when in reality this is just a hybrid scrollframe","Clean scrolling"
"GRM_Core.lua","12400","GRM.ConfigureChangesHeader()","Configures the changes header to add it","To Clear the changes header"
"GRM_Core.lua","12432","GRM.SetLogValues ( int , int )","Sets the fontstring values for the lineNumber count and the actual strings for display","So we have a functioning hybrid scrollframe on the core log."
"GRM_Core.lua","12490","GRM.GetOperatorsFromText ( string )","Adds operator controls to the search strings of the log","Quality of life improvement on searching the log"
"GRM_Core.lua","12507","GRM.GetSearchLog ( bool , string )","Pre-builds all the values to display based on the various filter parameters.","Make building a hybridscrollframe for the log that much simpler, and keeps it from reprocessing over and over."
"GRM_Core.lua","12660","GRM.SetColoredLines()","Sets all of the instances in the temp filtered log as true or false, indicating which lines should be red or not.","Line coloring!!!"
"GRM_Core.lua","12685","GRM.BuildLogComplete()","Checks the editbox and sees whether to build the log normal, or to auto-rebuild the log based on the custom text filter.","The Call to rebuild the log is done about 50 times. This cleans up the code bloat."
"GRM_Core.lua","12708","GRM.BuildHybridLog( string , bool , bool , bool , table , int )","Builds the guildLog frame details for the scrollframe","You aren't tracking all of that info for nothing!"
"GRM_Core.lua","12817","GRM.BuildCoreLogFontstrings ( int , float , int )","Initiates the fontstring values for the Core Log","Compartmentalize the code for easier call back to."
"GRM_Core.lua","12931","GRM.RefreshLogTooltip()","Refreshes the tooltip of the button moused over in the log that has text that is too long","Enhanced log features"
"GRM_Core.lua","12975","GRM.ResetLogStringPoints ( bool )","Sets point of all the built fontstrings to account for spacing needed for the count or not and resets the size width","Aesthetics on the log"
"GRM_Core.lua","13004","GRM.AddOldLogHeader()","Returns the string of the Old Log header","Cleaner Log reporting."
"GRM_Core.lua","13011","GRM.AddNewChangesHeader()","Returns the string of the ""Changes"" header since last logged in the log","Cleaner log reporting"
"GRM_Core.lua","13018","GRM.convertToArrayFormat( string )","Converts the format into a usable one for sync and also exporting in a sorted, proper order.","Clean UI management for the user."
"GRM_Core.lua","13059","GRM.BuildCustomNoteScrollFrame ( string )","Builds the custom note scroll frame","To have a customizable scrollable scrollframe!!!"
"GRM_Core.lua","13126","GRM.InitializeDropDownDay ()","Initializes the Drop Down ""Day"" select window with values based on selected month","UI feature for easy date select."
"GRM_Core.lua","13206","GRM.InitializeDropDownYear()","Initializes the year select drop-down OnDropMenuClick","Easy way to set when player joined the guild."
"GRM_Core.lua","13273","GRM.InitializeDropDownMonth(self,level)","Initializes month drop select menu","Date select for Officer Note ""Join Date"""
"GRM_Core.lua","13337","GRM.SetJoinDate( string , int , int , int )","Sets the player's join date properly, be it the first time, a modified time, or an edit.","For so many uses! Anniversary tracking, for editing the date, and so on..."
"GRM_Core.lua","13463","GRM.PlayerHasJoinDate ( string )","Returns true if the current selected player has a listed Join Date, with the given JoinDate","For the Join Date selection, this will let us know if an option to sync to the selected player's join date should be given."
"GRM_Core.lua","13480","GRM.SetPromoDate()","Set's the date the player was promoted to the current rank","Date tracking and control of rank promotions."
"GRM_Core.lua","13555","GRM.SetAllIncompleteJoinUnknown()","Sets the join date of every player in the guild who does not have it yet set as ""unknown""","More just quality of life information and UI feature. Useful than manually going to them all to set as unknown..."
"GRM_Core.lua","13619","GRM.SetAllIncompletePromoUnknown()","Sets the promo date of every player in the guild who does not have it yet set to an unknown value","More just quality of life information and UI feature. Useful than manually going to them all..."
"GRM_Core.lua","13663","GRM.SetAllIncompleteBdayUnknown()","Sets the Birth date of every player in the guild who does not have it yet set to an unknown value","More just quality of life information and UI feature. Useful than manually going to them all..."
"GRM_Core.lua","13725","GRM.DateSubmitCancelResetLogic( boolean , string , boolean , string )","Resets the logic on what occurs with the cancel button, since it will have multiple uses.","Resource efficiency. No need to make new buttons for everything! This reuses the button, just resets the click logic in join date submit cancel event."
"GRM_Core.lua","13903","GRM.SetDateButtonConfiguration ( int )","Formats the date submit configuration of buttons for clean submission","Only some date inputs need ALL, including the year. Birthday only needs day and month."
"GRM_Core.lua","13945","GRM.GetRecordedDate ( string )","Returns either today's date, if no date of the corresponding date is stored, or, returns the date of the stored item","Continuity on editing dates and presenting dates."
"GRM_Core.lua","13971","GRM.SetDateSelectFrame( string , frameObject, string )","On Clicking the ""Set Join Date"" button this logic presents itself","Handle the event to modify when a player joined the guild. This is useful for anniversary date tracking."
"GRM_Core.lua","14024","GRM.IsGuildieAnOfficer ( string , int )","It returns true if the player is tagged as an officer in the guild. It does this by grabbing their current rank status, getting the flags of that rank permission, returning index 9","Useful to know if player is an officer."
"GRM_Core.lua","14034","GRM.GetPlayerRankPermissions ( string , int )","Returns the rank permission of the player/rank for promoting, demoting, or kicking","For the macro tool this is important ot know who to allow sync with."
"GRM_Core.lua","14044","GRM.GetFirstOfficerRank()","Gets the first rank that can view officer notes, thus IS an officer","So it can have a default Ban Sync Rank."
"GRM_Core.lua","14060","GRM.IsOfficerRankByIndex ( int )","Returns boolean if player given rankIndex is an officer rank. Of note, rank index start at zero, but settings check starts at 1, so this adjusts.","Useful check to determine if a player is moving from an officer to a non-officer rank."
"GRM_Core.lua","14070","GRM.IsPlayerAnOfficer ()","Returns true if the player is an officer","The old API no longer applies and works right. Now, all officers have access to"
"GRM_Core.lua","14077","GRM.GetRankIndex ( string , 2Darray )","Returns the index of the guild rank...","Flow control of drop down menus."
"GRM_Core.lua","14102","GRM.BuildRankList()","It builds into an array all of the dropdown buttons from the guild rank dropdown.","Needed to initialize dropdown logic..."
"GRM_Core.lua","14112","GRM.OnRankChange ( string , string , string , string )","Logic on Rank Drop down select in main frame","UI feature and UX"
"GRM_Core.lua","14236","GRM.PopulateOptionsRankDropDown ()","Adds all the guild ranks to the drop down menu","UI Feature"
"GRM_Core.lua","14347","GRM.PopulateBanListOptionsDropDown ()","Adds all the guild ranks to the drop down menu for ban changes","UI Feature in options - greater control to keep sync of ban list to officers only, whilst allowing great sync with all guildies."
"GRM_Core.lua","14464","GRM.PopulateDefaultDropDownRankMenu()","Adds all the guild ranks to the drop down menu for custom default","UI Feature in options - greater control to keep custom note sync display on each character neat."
"GRM_Core.lua","14547","GRM.CreateRankDropDownMenu ( frame , fontstring , frame , int , int , function() )","It creates a dropdown menu that has all of the current guild ranks, with highest rank in guild on top","To create a generic, reusable dropdown menu for rank creation"
"GRM_Core.lua","14599","GRM.CreateDropDownMenu ( frame , fontstring , frame , int , string  int ,  array , function() )","It creates a dropdown menu given the specific variables","To create a generic, reusable dropdown menus"
"GRM_Core.lua","14649","GRM.PopulateClassDropDownMenu ()","Adds all the player CLASSES to the drop down menu","This is useful for player selection of the class when manually adding a player's info to the metadata, like adding someone to a ban list."
"GRM_Core.lua","14742","GRM.PopulateMainTagDropdown()","Creates a dropdown menu including options to choose from for main tag formatting in guild chat","Options, options, options! Customization to make it pleasing for all players in the formatting."
"GRM_Core.lua","14813","GRM.PopulateDefaultTabDropdown()","Creates a dropdown menu including options to choose from the GRM tabs as to which is default","Quality of Life preference control option"
"GRM_Core.lua","14876","GRM.PopulateLanguageDropdown()","Populates a dropdown select menu with all of the available languages to choose from...","To give the player the option to manually select and change which language the addon is using."
"GRM_Core.lua","15049","GRM.PopulateFontDropdown()","Builds the font dropdown box","Give the user more customizability over the addon."
"GRM_Core.lua","15146","GRM.PopulateTimestampFormatDropDown()","Builds a dropdown menu displaying the various format options","To give the player the ability to adjust timestamp formats"
"GRM_Core.lua","15249","GRM.Populate24HrDropDown()","Builds the 2 options in 24 hr timescale vs 12 hr","To give the player the option to set it to a 12hr scale or 24hr scale."
"GRM_Core.lua","15320","GRM.SetGroupInviteButton ( string )","Invites a selected guildie to your group","Continuity on previous Blizz default frames to these"
"GRM_Core.lua","15374","GRM.CreateOptionsRankDropDown()","Builds the final rank drop down product for options panel","UI Feature for options to be able to filter who you will accept shared data from."
"GRM_Core.lua","15472","GRM.ClearPromoDateHistory ( string , bool )","Purges history of promotions as if they had just joined the guild.","Editing ability in case of user error."
"GRM_Core.lua","15498","GRM.ClearJoinDateHistory ( string )","Clears the player's history on when they joined/left/rejoined the guild to be as if they were  a new member","Micromanagement of toons metadata."
"GRM_Core.lua","15534","GRM.ResetPlayerMetaData ( string )","Purges all metadata from an alt up to that point and resets them as if they were just added to the guild roster","Metadata player management. QoL feature if ever needed."
"GRM_Core.lua","15616","GRM.ResetAllSavedData()","Purges literally ALL saved data, then rebuilds it from scratch as if addon was just installed.","Clear data for any purpose needed."
"GRM_Core.lua","15681","GRM.ResetGuildSavedData( string )","Purges all saved data from the guild and only the guild...","Sometimes you don't want to reset everything... just the guild."
"GRM_Core.lua","15743","GRM.CheckForNewPlayer ( string )","Live checks when a player joins the guild and reports on it","For live detection use separate than on scheduled scan"
"GRM_Core.lua","15883","GRM.GetParsedNameFromInviteAnnouncmenet ( string )","Parses out the player name-server from the system message about a player joining the guild","Useful for players joining the guild."
"GRM_Core.lua","15908","GRM.LiveKickDetection( string , int )","Reports the a player was kicked from the guild and checks if ban was done as well","To update the database on-the-fly for changes."
"GRM_Core.lua","15942","GRM.SendBannedSyncMessageForAlts()","Controls the flow of data on banning alts as well","Ensure the data stream is wrapped in throttle protections in case a lot of players are online who can sync"
"GRM_Core.lua","15994","GRM.BanAndKickingAltsByPlayer ( string )","Removes the player, but all ques up alts for kicking, and bans all the alts as well if setting is so checked.","Allow player to also ban all connected alts"
"GRM_Core.lua","16063","GRM.GetPlayerKickedFromButton ( string , bool )","Used for the secure hook and runs when the guild uninvite action is implemented from removing the player and returns the player removed's name","Since the guild uninvite is a protected action now, it is still useful to know the name of the player being kicked, especially for perfect matching"
"GRM_Core.lua","16094","GRM.KickButtonLogic ( string , int , bool )","Parses player name if they are going to be kicking for quick reporting","Control quick reporting to log and updating server."
"GRM_Core.lua","16140","GRM.KickAction ( string , string , int , bool , bool)","Records the data of who was kicked, who did the kicking, and for their alts if necessary","Management of kicking logic."
"GRM_Core.lua","16188","GRM.GetPromotionText ( string )","Returns the parsed names of the person who promotes a player, who was promoted, and the rank they were promoted to.","Live parsing of the system message so the player does not have to wait for the log to update in retail or the roster to refresh in Classic"
"GRM_Core.lua","16218","GRM.GetDeomotionText ( string )","Returns the parsed names of the person who promotes a player, who was demoted, and the rank they were demoted to.","Live parsing of the system message so the player does not have to wait for the log to update in retail or the roster to refresh in Classic"
"GRM_Core.lua","16268","GRM.AddToLiveScanQue ( int , string , int )","Adds the entry to a table to be used for reporting if already involved in a log scan. No need to cause overlap.","Prevent double log entry overlap."
"GRM_Core.lua","16292","GRM.ProcessLiveScanQue()","Scans through and completes any of the live changes detected","Ensure accurate sync reporting to the logs."
"GRM_Core.lua","16325","GRM.SetNextTrue ( tabloe )","It sets the index of a live event check in case they needed to be considered","Ensure accurate reporting of live changes."
"GRM_Core.lua","16350","GRM.SystemMessageLiveDetectionControl ( string )","Organizes the promotions, demotions, kicks, joins, leaves for live detection","Sometimes the server call to the guild can take several seconds to pull data, even though the system message has already emoted. This will actually parse the system message so as not to need to wait for server callback."
"GRM_Core.lua","16493","GRM.LiveJoinDetection ( string )","Holds the repeatable code to run if a current scan is happening.","Cleanup the code so functions aren't too big."
"GRM_Core.lua","16507","GRM.LivePromoteOrDemoteDetection ( string , bool , int )","Checks live event on promotions and demotions and reports on them and updates the database","To instantly log these rank event changes to the database."
"GRM_Core.lua","16559","GRM.LiveLeaveDetection( string , int )","Catches the system message that the player just left and then updates their details appropriately","Instantly report when a player is no longer in the guild. Also to use for your own self-detection."
"GRM_Core.lua","16591","GRM.GetParsedplayerName ( string )","Parses out the Left Player message for all 11 clients","The Taiwan and Chinese Mandarin need to be parsed differently."
"GRM_Core.lua","16608","GRM.GetParsedJoinPlayerName ( string )","Parses out the joined Player message for all 11 clients","To live determine the name of the player that joined the guild"
"GRM_Core.lua","16618","GRM.GetParsedKickPlayerNames ( string )","Returns both the kicked and the kicker names from the parsed system message","To cleanup and efficiently handle LIVE chat reporting when a player is kicked."
"GRM_Core.lua","16673","GRM.RemoveBan( int , boolean , boolean , int )","Just what it says... it removes the ban from the player and wipes the data clean. No history of ban is stored","Necessary for forgiveness or accidental banning."
"GRM_Core.lua","16702","GRM.UnBanplayer ( string , string , int )","Unbans a listed player in the ban list","To be able to control who is banned and not banned in the guild."
"GRM_Core.lua","16718","GRM.BanListUnban ( string , string , int )","Unbans the player selected on the core ban list frame upon button push","Good to control who is and isn't on the ban list..."
"GRM_Core.lua","16742","GRM.GRM.PopulateMemberDetails ( string , memberTable , bool )","Builds the details for the core MemberInfoFrame","Iterate on each mouseover... Furthermore, this is being kept in ""Local"" for even the most infinitesimal cost-saving on resources"
"GRM_Core.lua","17179","GRM.RemoveBanSendSyncMessage ( string , int , int , int )","Sends the unban sync message for the player to all online","Control the flow of sync information."
"GRM_Core.lua","17220","GRM.FactionIcon ( ind );","Returns the Horde and Alliance faction colors","In 10.1 cross faction guilds became a thing, so this allows players to tag with a faction symbol."
"GRM_Core.lua","17250","GRM.DeathStatus ( playerObject , bool )","Controls the texture visibility in the mouseover window","Hardcore mode support indicates player is DEAD."
"GRM_Core.lua","17294","GRM.ClearAllFrames( boolean )","Ensures frames are properly reset upon frame reload...","Logic time-saver for minimal costs... why check status of them all when you can just disable and build anew on each reload?"
"GRM_Core.lua","17328","GRM.ClearResetFramesOnTabChange()","Resets the frames when you are tabbing back and forth","Cleaner UI transition experience. Also, no need to keep player name up when the roster screen is gone."
"GRM_Core.lua","17341","GRM.SubFrameCheck()","Checks the core main frames, if they are open... and hides them","Questionable at this time... I might rewrite it with just 4 lines... It serves its purpose now"
"GRM_Core.lua","17368","GRM.SelectPlayerOnRoster ( string )","If the guild roster window is open, this will jump to the player anywhere in the roster, online or offline, and bring up their metadata window","Useful for when a player wants to click and alt rather than have to scan through the roster for them."
"GRM_Core.lua","17386","GRM.DateUntrustedTag ( bool )","Adds a tag in front of a date indicating it is not valid. Returns also the boolean of if it is trusted or not.","Notify you that you may need to manually update the date."
"GRM_Core.lua","17403","GRM.GetPlayerWhoBanned ( string , boolean )","Returns the name of the player who banned the given toon, if they are banned at least.","Mostly for use in the tooltip on the mouseover of the ban buttons to say who banned the player."
"GRM_Core.lua","17425","GRM.GetBannedPlayersWithGUIDs()","Compiles a list of all players that are banned with GUIDs into a 2d array","For use on easy re-checking of players' GUID to see if the banned player is no longer on the server"
"GRM_Core.lua","17452","GRM.GetBannedPlayersStillInGuild()","Returns a list of players currently in the guild that are banned, with their accompanying metadata.","Collect more than just the count, but get the player metadata too"
"GRM_Core.lua","17471","GRM.SyncRemoveCurrentPlayerBan ( string , int )","Removes a current ban during sync, thus avoids the chat spam.","Ban mechanism for during retroactive sync."
"GRM_Core.lua","17489","GRM.SyncAddCurrentPlayerBan ( string , int , string , string )","Adds a ban during sync with the reason","Ban mechanism for during retroactive sync."
"GRM_Core.lua","17504","GRM.ChangeCurrentPlayerBanReason ( string , string , string )","Edits the current ban reason with a new one","Mechanism for editing the reason of a ban"
"GRM_Core.lua","17519","GRM.GetNumberOfPlayerSBannedCurrentlyInGuild ( int )","Returns the number of players that are currently banned but are still in the guild","Useful on the OnUpdate Ban List tab to inform the player better if there are currently players in the guild that need to be banned."
"GRM_Core.lua","17545","GRM.GetSortedBanListNamesWithDetails ( string )","Returns the list of all banned players based on the given sorting settings","Give the player to sort the ban list by the headers."
"GRM_Core.lua","17722","GRM.IsAnyBanHighlighted()","Checks if any of the buttons in the ban list are highlighted","UX"
"GRM_Core.lua","17739","GRM.ClearAllBanHighlights()","Clears all the highlights of any selected name in the ban window","UX"
"GRM_Core.lua","17750","GRM.IsBanNameOnList ( name , array )","Returns true if the given name is on the list","To identify a quick lookup if the name is on the list for purposes of updating the ban list to show player has left the server"
"GRM_Core.lua","17766","GRM.RefreshBanListFrames( bool , string )","On loading the Ban List frames, it populates and prepares them for a scrollable window if necessary","Quality of Life. Whilst the ban list is managed automatically behind the scenes, it is useful to have common information that syncs between users"
"GRM_Core.lua","18104","GRM.RestoreTooltip()","Restores the previous settings of the tooltip so GRM's own settings do not overwrite elsewhere","Maintain compatibility, and also add this all into a single function call."
"GRM_Core.lua","18112","GRM.GetRankHistory ( string , string )","Returns the give players promotion date history","So export can include a promotion date history"
"GRM_Core.lua","18156","GRM.PromoRankTooltip ( frame )","Processes the logic for this specific tooltip in the player rank window and populates player rank promotion history","Keep code clean and management and compartmentalized on the mouseover tooltip window."
"GRM_Core.lua","18233","GRM.JoinDateTooltip ( frame )","Builds the tooltip for when mousing over the guild join date history","Keep code clean and compartmentalized"
"GRM_Core.lua","18317","GRM.PlayerNameTooltip( frame )","Builds tooltip when mousing over the player name","Compartmentalizing the code for cleanliness, like previous tooltip logic"
"GRM_Core.lua","18350","GRM.GetSex ( int )","Returns the localized text string of the given gender","Useful to report the player's sex."
"GRM_Core.lua","18365","GRM.AltNameTooltip ( frame )","Populates the alt info tooltip","Useful info for player, keeps code clean."
"GRM_Core.lua","18469","GRM.CustomNoteSlider ( parentFrameOfSlider )","Controls logic of mouseover of the custom note frame within the OnUpdate of the mouseover","Show the scrollSlider, but only if necessary"
"GRM_Core.lua","18481","GRM.PlayerStatusNotificationTooltip ( Frame )","Builds notification tooltip to let player know they can view player status updates","Useful info for the player"
"GRM_Core.lua","18498","GRM.EditBdayTooltip ( self )","Provides a tooltip on the text so player knows they can edit it.","Clean code!"
"GRM_Core.lua","18519","GRM.MemberDetailToolTips ( self , float )","Populates the tooltips on the ""OnUpdate"" check for the core Member Detail frame","UI Feature"
"GRM_Core.lua","18560","GRM.ModifySpecificGuildControlValue ( int , string )","Modifies the position of the guild Control and returns the string","Easy modification of the string."
"GRM_Core.lua","18601","GRM.GetGuildInfoTextSafe()","Returns guild info text without calling protected API during combat lockdown.","Avoids ADDON_ACTION_BLOCKED taint errors while still providing the latest cached guild info."
"GRM_Core.lua","18618","GRM.UpdateGuildInfoWithNewValue ( int , string )","Modifies the control values then inserts them into the guildInfo over the original GRM controls, effectively replacing them","Ease of controls of global GRM controls for the addon user."
"GRM_Core.lua","18638","GRM.GetRulesString()","Pulls the rules from the guild Info note","To clear the guildInfo and clean it up for expanded  global controls."
"GRM_Core.lua","18650","GRM.GetEachGlobalControl()","Returns the parsed string based on the pattern match","Faster and cleaer code for parsing the global controls"
"GRM_Core.lua","18664","GRM.GetGlobalControlValue ( int )","Returns the Global control value from the guildInfo global string","Easily pull values from the parsed note."
"GRM_Core.lua","18683","GRM.UpdateGuildLeaderPermissions( bool , bool )","Scans the guild leader note for special tags and controls, pushes them to addon player setting - Rechecks every 60 seconds...","So the guild leader can mass enable/disable certain features in the addon."
"GRM_Core.lua","18752","GRM.SetJoinTagCustomFormat ( string , string , bool )","Checks for the number after the given match, and forces the player to adhere to those setting...","Conformity within the guild in the settings."
"GRM_Core.lua","18854","GRM.SetNoteTriggerRestrictions ( string )","Checks the Guildinfo tag if settings need to be adjusted and modify the settings if they do.","Allow global control in enforcing all officers use this function."
"GRM_Core.lua","18898","GRM.IsCustomJoinRestricted()","Returns true if the guild Info has the custom join tag note set properly to a custom","Prevent players from making editing changes"
"GRM_Core.lua","18915","GRM.IsCustomReJoinRestricted()","Returns true if the custom Rejoin is restricted globally using the guild info note","Prevent players from changing their settings if it is already restricted in the guild info note"
"GRM_Core.lua","18933","GRM.SetTimestampRestriction ( string , bool )","Checks for the number after the given match, and forces the player to adhere to those setting...","Conformity within the guild in the settings."
"GRM_Core.lua","18978","GRM.SetLeaderRankRestrictionSetting ( string , bool )","Checks for the number after the given match, and forces the player to adhere to those setting...","Conformity within the guild in the settings."
"GRM_Core.lua","19018","GRM.SetLeaderBanRestrictionSetting ( string , bool )","Checks for the number after the given match, and forces the player to adhere to those Ban setting...","Conformity within the guild in the settings."
"GRM_Core.lua","19071","GRM.SetLeaderCustomNoteRestrictionSetting ( string , bool )","Checks for the number after the given match, and forces the player to adhere to those Ban setting...","Conformity within the guild in the settings."
"GRM_Core.lua","19112","GRM.SetLeaderJoinDateRestrictionSetting ( int , bool )","Checks for the number after the given match and forces all players to adhere to that setting.","Conformity and unification of addon settings and to prevent multiple people from adding join date to multiple locations."
"GRM_Core.lua","19192","GRM.SetLeaderUsingJoinTagHeaders ( string )","Checks if including the tag headers should be enabled or disabled","To help conformity in the guild on the destination of the notes."
"GRM_Core.lua","19230","GRM.IsSyncRankGuildLeaderRestricted ( int )","Returns a boolean if the player's guild leader does have restriction standardization","Necessary for UX quality control on various methods to change and manipulate the settings."
"GRM_Core.lua","19276","GRM.ReportRankRestriction ( int )","Reports restriction rank if you try make a change to sync rank restrictions, yet in the guild info there are values set to control it.","Use for reporting any of the sync rank restrictions..."
"GRM_Core.lua","19289","GRM.GetRankRestrictionText ( int )","Returns the text of the restriction rank guild leader has set it to for the controlled values in the guild info window","To make it obvious for player why they do not have access to sync rank controls."
"GRM_Core.lua","19303","GRM.GetGlobalSettingsProgress()","Compiles the progress with the global functions","For use with creating an export of them."
"GRM_Core.lua","19325","GRM.AllGlobalsAreSet()","Returns true if all globals are set in the guildInfo properly","To help with guild Info global settings and tooltip info for UX"
"GRM_Core.lua","19346","GRM.SetGlobalControlsToGuildInfo()","Rebuilds the guild control tags and inserts them back into the guildInfo","Give the user the ability to control some specific functions globally."
"GRM_Core.lua","19397","GRM.GetAllGlobalRulesAsString()","Builds the Globals string for the GuildInfo window","Quality of Life to help ease new players into the addon."
"GRM_Core.lua","19439","GRM.CheckAllDates( boolean )","Returns all of the date info of players who have notes, but no GRM data, ot the other way around, which note it is in, and the status of the note in terms of consistency with addon/note data","To manage the extremely complicated parsing of the notes to properly display note data..."
"GRM_Core.lua","19559","GRM.GetParsedDate ( string )","Algorithm for combining all pieces of the puzzle into attempting to parse out the date properly, and returns the { day, month , year } if valid","Assist in controlling the overall logic of parsing the date into a workable format to reverse engineer the date stored in the notes."
"GRM_Core.lua","19580","GRM.RemoveDateFromNote ( string )","Removes the date from the note","To reverse engineer the notes and replace them with different dates."
"GRM_Core.lua","19602","GRM.ClearJoinTag ( string )","Checks a given string from a note and searches for the ""Joined:"" text and returns true, as well as the string at the next appropriate start position","Make parsing notes extremely simple."
"GRM_Core.lua","19622","GRM.ParseDateFormat ( string , int , string )","Returns the day, month, year of the parsed timestamp from note","To more easily parse the player notes"
"GRM_Core.lua","19745","GRM.CleanupNoteDate ( string )","Removes any ""st"" or ""th"" abbrev. in English - Compatible as no other selected languages have dates that this would mess with.","Increases compatibility to some custom formats for parsing."
"GRM_Core.lua","19767","GRM.FindStartOfDate ( note )","Parses the given note for a GRM styled note format and returns it, as well as the text before the note and the text after.","Finding the date in the note can be challenging with so many different formats. This does that as long as it is in a GRM supported format."
